Q,pct,rmse,mae,bias,r2,rrmse_pct,max_abs
-25000.0,-37.5,0.17408029645688142,0.1075785362859429,0.087142865174018,0.9551739717599839,1.737883320590222,5.583259655761722
-30000.0,-25.0,0.16128269823185898,0.10780526553941515,0.10661580810289169,0.9734769016373274,1.3246930064792815,6.932996423339844
-35000.0,-12.5,0.16311668223749015,0.11327943702718098,0.11255006971652559,0.9802170735910418,1.1331324485765404,8.29118083496094
-36000.0,-10.0,0.16430461592676499,0.1135163252118598,0.11282721219997828,0.9810562366932525,1.1066370489167316,8.56698759765625
-38000.0,-5.0,0.16738055814654282,0.1136557809650336,0.11299928110365122,0.9824088314655921,1.06209981437455,9.124481787109374
-40000.0,0.0,0.17151137903298486,0.11381972202826604,0.11312040937852647,0.9833815568080168,1.0280607746387629,9.691209228515632
-42000.0,5.0,0.17692761445580565,0.11457288974419488,0.11373592177218968,0.9840087506569162,1.00421496980904,10.268493896484372
-44000.0,10.0,0.183928603004812,0.11650237897284611,0.11539408835001627,0.9843021272852135,0.990658359526734,10.857239331054686
-45000.0,12.5,0.18812866776067833,0.1180996527783203,0.11678297659586588,0.9843231478301689,0.9878061431059867,11.156260278320318
-50000.0,25.0,0.21813568236993752,0.135625422933214,0.1320261914870877,0.9830609823207639,1.015085029688765,12.698834509277347
