Q,pct,mb_mean,mb_max,mb_mean_pct,mb_max_pct
-25000.0,-37.5,2908.53455284713,10258.503373317453,11.634138211388517,41.03401349326981
-30000.0,-25.0,3149.569326951147,13261.401713342922,10.49856442317049,44.20467237780974
-35000.0,-12.5,3494.1009719995195,15886.142632815081,9.983145634284341,45.38897895090023
-36000.0,-10.0,3575.320247483751,16381.958619143366,9.931445131899308,45.505440608731575
-38000.0,-5.0,3750.1961342220975,17354.30562104504,9.868937195321308,45.66922531853958
-40000.0,0.0,3944.550403144253,18310.913188734943,9.861376007860633,45.77728297183736
-42000.0,5.0,4163.694716426221,19259.244894873256,9.913558848633858,45.855344987793465
-44000.0,10.0,4406.157277833647,20206.084507205283,10.013993813258288,45.92291933455746
-45000.0,12.5,4538.405174096824,20681.12594586136,10.085344831326276,45.95805765746969
-50000.0,25.0,5302.43894446867,23092.67620181467,10.604877888937342,46.18535240362934
