Q,pct,n_timesteps,n_points,rmse,mae,bias,r2,rrmse_pct,max_abs,head_range
-25000.0,-37.5,33,2970000,0.13118140316170374,0.08696994692746149,0.016133273368458347,0.9733960878845593,1.309613880298136,5.789272033691404,10.016800000000003
-30000.0,-25.0,33,2970000,0.1375302355379684,0.08449808875395387,0.020226619142433466,0.9798254001627318,1.1296025128168836,7.160271411132811,12.1751
-35000.0,-12.5,33,2970000,0.16124992241423297,0.0963790888370726,0.01438610065763019,0.9797582042309622,1.1201645160486338,8.549019396972653,14.395200000000003
-36000.0,-10.0,33,2970000,0.16688637653242558,0.09945390253944063,0.012732956801946893,0.9795334055847986,1.1240259209307182,8.831719189453125,14.8472
-38000.0,-5.0,33,2970000,0.17861266819851726,0.10605420766546073,0.00947720616159564,0.9790151046706838,1.1333722616249176,9.402638671874996,15.7594
-40000.0,0.0,33,2970000,0.19072589543061444,0.11295319431178232,0.006723632883493968,0.978463063306578,1.1432350022814504,9.981937451171873,16.683000000000007
-42000.0,5.0,33,2970000,0.20304514867385856,0.11995791890718716,0.004979637718970311,0.9779199476603481,1.1524542309155636,10.57090217285156,17.618499999999997
-44000.0,10.0,33,2970000,0.21548688199550306,0.12690530823746493,0.004721964122536422,0.977401883830586,1.1606344936551876,11.170060083007812,18.5663
-45000.0,12.5,33,2970000,0.22175717915835413,0.13033462368543408,0.005288757539765338,0.9771505746574652,1.164379179727878,11.473819555664065,19.045100000000005
-50000.0,25.0,33,2970000,0.2544855909349499,0.14716733110827118,0.01701138241697165,0.9757924050921226,1.1842377680854275,13.03487631835938,21.489400000000003
