247.4916 558.5284 30 87.4752
551.8395 558.5284 30 84.9880
167.2241 451.5050 30 87.8572
498.3278 498.3278 30 83.0082
819.3980 866.2207 30 89.1892
257.5251 789.2977 30 88.6100
100.3344 431.4381 30 88.0793
484.9498 725.7525 30 87.5721
528.4281 381.2709 30 86.1083
404.6823 311.0368 30 87.3704
280.9365 876.2542 30 89.1608
598.6622 511.7057 30 85.5002
244.1472 712.3746 30 88.1683
712.3746 30.1003 30 89.8040
484.9498 531.7726 30 83.6453
876.2542 401.3378 30 88.0658
478.2609 153.8462 30 88.7666
605.3512 806.0201 30 88.4687
461.5385 387.9599 30 86.0499
391.3043 612.0401 30 86.5847
989.9666 745.8194 30 88.6899
732.4415 361.2040 30 87.6531
387.9599 903.0100 30 89.2697
321.0702 702.3411 30 87.8190
662.2074 468.2274 30 86.5924
